Facility_Name,ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Latitude,Longitude,"Population, 2021",Facilities_Per_Capita,address,point,latitude,longitude
Akron Pharmacy,Akron Pharmacy,Toronto,2318 Lake Shore Boulevard West,M8V1B5,-8848525.50159038,5406448.35748242,2794356.0,0.0006098006123772347,"2318 Lake Shore Boulevard West, Toronto, Ontario, Canada",POINT (-79.4875616 43.6175066),43.6175066,-79.4875616
Al Shefa Pharmacy,Al Shefa Pharmacy,Toronto,3176 Eglinton Avenue East,M1J2H5,-8818768.87774957,5425800.34272932,2794356.0,0.0006098006123772347,"3176 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.22028743333334 43.74302266666667),43.74302266666667,-79.22028743333334
Albany Diagnostic Radiology,Albany Diagnostic Radiology,Toronto,807 Broadview Avenue,M4K2P8,-8834121.09344021,5415743.05616659,2794356.0,0.0006098006123772347,"807 Broadview Avenue, Toronto, Ontario, Canada",POINT (-79.35831836666667 43.67804146666667),43.67804146666667,-79.35831836666667
Albany Ultrasound,Albany Ultrasound,Toronto,807 Broadview Avenue,M4K2P8,-8834121.09344021,5415743.05616659,2794356.0,0.0006098006123772347,"807 Broadview Avenue, Toronto, Ontario, Canada",POINT (-79.35831836666667 43.67804146666667),43.67804146666667,-79.35831836666667
Albion Drug Store,Albion Drug Store,Toronto,1770 Albion Road,M9V1C2,-8861476.74510775,5425936.8649513,2794356.0,0.0006098006123772347,"1770 Albion Road, Toronto, Ontario, Canada",POINT (-79.6039214 43.7437678),43.7437678,-79.6039214
Albion Finch Pharmacy,Albion Finch Pharmacy,Toronto,6100 Finch Avenue West,M9V0A1,-8859769.78316787,5425735.45686017,2794356.0,0.0006098006123772347,"6100 Finch Avenue West, Toronto, Ontario, Canada",POINT (-79.5889013066357 43.74219306739967),43.74219306739967,-79.5889013066357
Albion Islington Pharmacy,Albion Islington Pharmacy,Toronto,968 Albion Road,M9V1A7,-8856836.6370369,5424751.65440276,2794356.0,0.0006098006123772347,"968 Albion Road, Toronto, Ontario, Canada",POINT (-79.5622373 43.7364646),43.7364646,-79.5622373
Albion Martingrove Pharmacy,Albion Martingrove Pharmacy,Toronto,1625 Albion Road,M9V5H8,-8860418.45297267,5425552.45065896,2794356.0,0.0006098006123772347,"1625 Albion Road, Toronto, Ontario, Canada",POINT (-79.5951361 43.7419506),43.7419506,-79.5951361
Albion Medical Pharmacy,Albion Medical Pharmacy,Toronto,900 Albion Road,M9V1A5,-8856459.24169922,5424494.94715464,2794356.0,0.0006098006123772347,"900 Albion Road, Toronto, Ontario, Canada",POINT (-79.5588117 43.7344007),43.7344007,-79.5588117
Alexis Lodge Retirement Residence,Alexis Lodge Retirement Residence,Toronto,707 Ellesmere Road,M1P2W1,-8826370.72992855,5428948.34097722,2794356.0,0.0006098006123772347,"707 Ellesmere Road, Toronto, Ontario, Canada",POINT (-79.28863975 43.7637055),43.7637055,-79.28863975
Allcures Pharmacy,Allcures Pharmacy,Toronto,31 St Dennis Drive,M3C1G7,-8831002.21073885,5421957.88598321,2794356.0,0.0006098006123772347,"31 St Dennis Drive, Toronto, Ontario, Canada",POINT (-79.33118 43.718312),43.718312,-79.33118
Alliance for South Asian AIDS Prevention,Alliance for South Asian AIDS Prevention,Toronto,120 Carlton Street,M5A4K3,-8836142.39935818,5413379.40381643,2794356.0,0.0006098006123772347,"120 Carlton Street, Toronto, Ontario, Canada",POINT (-79.376558 43.662536),43.662536,-79.376558
Alpha House,Alpha House,Toronto,647 Broadview Avenue,M4K2N9,-8833854.32741247,5415026.97419199,2794356.0,0.0006098006123772347,"647 Broadview Avenue, Toronto, Ontario, Canada",POINT (-79.3559186 43.673285),43.673285,-79.3559186
Alton Towers X,Alton Towers X-Ray and Ultrasound Services,Toronto,240 Alton Towers Circle,M1V4P3,-8825131.3989056,5438600.04355531,2794356.0,0.0006098006123772347,"240 Alton Towers Circle, Toronto, Ontario, Canada",POINT (-79.27619935336841 43.82668355),43.82668355,-79.27619935336841
Ambulatory Patient Pharmacy,Ambulatory Patient Pharmacy,Toronto,2075 Bayview Avenue,M4N3M5,-8835748.0166662,5422651.61620227,2794356.0,0.0006098006123772347,"2075 Bayview Avenue, Toronto, Ontario, Canada",POINT (-79.3728068 43.7219965),43.7219965,-79.3728068
Amherst Pharmasave #721,Amherst Pharmasave #721,Toronto,3485 Kingston Road,M1M1R4,-8818435.9656804,5424913.33649054,2794356.0,0.0006098006123772347,"3485 Kingston Road, Toronto, Ontario, Canada",POINT (-79.2307121 43.7265418),43.7265418,-79.2307121
Amica Bayview Gardens,Amica Bayview Gardens,Toronto,19 Rean Drive,M2K0A4,-8836812.6206164,5429488.13876484,2794356.0,0.0006098006123772347,"19 Rean Drive, Toronto, Ontario, Canada",POINT (-79.38232397231914 43.7671965),43.7671965,-79.38232397231914
Amica Bayview Village,Amica Bayview Village,Toronto,15 Barberry Place,M2K1G4,-8836985.97845941,5429360.82817211,2794356.0,0.0006098006123772347,"15 Barberry Place, Toronto, Ontario, Canada",POINT (-79.3841852 43.7658146),43.7658146,-79.3841852
Amica On the Avenue,Amica On the Avenue,Toronto,1066 Avenue Road,M5N0A3,-8839904.83116776,5420027.37891154,2794356.0,0.0006098006123772347,"1066 Avenue Road, Toronto, Ontario, Canada",POINT (-79.41023341192171 43.7057065),43.7057065,-79.41023341192171
Amin Management Limited,Amin Management Limited,Toronto,340 College Street,M5T3A9,-8839036.19404915,5412576.61617256,2794356.0,0.0006098006123772347,"340 College Street, Toronto, Ontario, Canada",POINT (-79.4030485 43.6575765),43.6575765,-79.4030485
Andrew's Pharmacy,Andrew's Pharmacy,Toronto,3832 Bloor Street West,M9B1L1,-8854179.07343735,5410106.89514269,2794356.0,0.0006098006123772347,"3832 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.5384056 43.6413074),43.6413074,-79.5384056
Anishnawbe Health Toronto,Anishnawbe Health Toronto,Toronto,179 Gerrard Street East,M5A2E5,-8835783.47192401,5413088.82147105,2794356.0,0.0006098006123772347,"179 Gerrard Street East, Toronto, Ontario, Canada",POINT (-79.373341 43.660887),43.660887,-79.373341
Anne Johnston Health Station,Anne Johnston Health Station - Tobias House Attendant Care,Toronto,2398 Yonge Street,M4P2H4,-8838688.72139059,5420632.92131085,2794356.0,0.0006098006123772347,"2398 Yonge Street, Toronto, Ontario, Canada",POINT (-79.3992016 43.7097205),43.7097205,-79.3992016
Anne Pharmacy,Anne Pharmacy,Toronto,1749 Jane Street,M9N2S5,-8850307.80456162,5419901.69249412,2794356.0,0.0006098006123772347,"1749 Jane Street, Toronto, Ontario, Canada",POINT (-79.48440958071693 43.649626579728064),43.649626579728064,-79.48440958071693
Annex Medical Imaging,Annex Medical Imaging,Toronto,800 Bathurst Street,M5R3M8,-8840067.95874957,5413822.94267104,2794356.0,0.0006098006123772347,"800 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.4116111 43.6655286),43.6655286,-79.4116111
Anova Fertility & Reproductive Health,Anova Fertility & Reproductive Health,Toronto,25 Sheppard Avenue West,M2N6S6,-8840114.39010918,5428517.20676336,2794356.0,0.0006098006123772347,"25 Sheppard Avenue West, Toronto, Ontario, Canada",POINT (-79.4121268006679 43.76084865),43.76084865,-79.4121268006679
Antrim X,Antrim X-Ray and Ultrasound,Toronto,2 Antrim Crescent,M1P2N3,-8825854.96446381,5430213.79183842,2794356.0,0.0006098006123772347,"2 Antrim Crescent, Toronto, Ontario, Canada",POINT (-79.28398643527508 43.771897),43.771897,-79.28398643527508
Apex Drug Mart,Apex Drug Mart,Toronto,90 Eglinton Avenue East,M4P2Y3,-8838293.27003149,5420298.43745886,2794356.0,0.0006098006123772347,"90 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.3957828 43.7075863),43.7075863,-79.3957828
Aphasia Institute,Aphasia Institute,Toronto,73 Scarsdale Road,M3B2R2,-8833649.41049382,5426795.15217114,2794356.0,0.0006098006123772347,"73 Scarsdale Road, Toronto, Ontario, Canada",POINT (-79.3540827 43.7497652),43.7497652,-79.3540827
Apollon Pharmacy Ltd,Apollon Pharmacy Ltd,Toronto,696 Danforth Avenue,M4J1L1,-8832514.2633823,5415942.69170988,2794356.0,0.0006098006123772347,"696 Danforth Avenue, Toronto, Ontario, Canada",POINT (-79.34366143206518 43.679315029858444),43.679315029858444,-79.34366143206518
Apotheca Compounding Pharmacy,Apotheca Compounding Pharmacy,Toronto,417 Spadina Road,M5P2W3,-8840161.18882311,5417411.87730363,2794356.0,0.0006098006123772347,"417 Spadina Road, Toronto, Ontario, Canada",POINT (-79.4125748357143 43.68889927142857),43.68889927142857,-79.4125748357143
Apple,Apple-Hills Medical Pharmacy,Toronto,1221 Bloor Street West,L4Y2N8,-8843281.3962264,5412764.0583523,2794356.0,0.0006098006123772347,"1221 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.44054356666666 43.6586775),43.6586775,-79.44054356666666
Applegrove Community Complex,Applegrove Community Complex,Toronto,60 Woodfield Road,M4L2W6,-8830064.21044553,5413894.62367578,2794356.0,0.0006098006123772347,"60 Woodfield Road, Toronto, Ontario, Canada",POINT (-79.32161720869566 43.66579716086957),43.66579716086957,-79.32161720869566
Appleton Clinic Sleep Centre,Appleton Clinic Sleep Centre,Toronto,845 Wilson Avenue,M3K1E6,-8845963.29426664,5423859.86544381,2794356.0,0.0006098006123772347,"845 Wilson Avenue, Toronto, Ontario, Canada",POINT (-79.4646024 43.7309886),43.7309886,-79.4646024
Ariana Pharmacy,Ariana Pharmacy,Toronto,751 Don Mills Road,M3C1S3,-8831622.6499208,5421271.98548781,2794356.0,0.0006098006123772347,"751 Don Mills Road, Toronto, Ontario, Canada",POINT (-79.3356475 43.7141298),43.7141298,-79.3356475
Arul Oli Senior Centre,Arul Oli Senior Centre,Toronto,8 Snowy Owl Way,M1X0B4,-8820336.59013841,5439499.83359864,2794356.0,0.0006098006123772347,"8 Snowy Owl Way, Toronto, Ontario, Canada",POINT (-79.23444286065575 43.832102),43.832102,-79.23444286065575
Ash Medical Pharmacy,Ash Medical Pharmacy,Toronto,2900 Eglinton Avenue East,M1J2E4,-8820748.3943307,5425201.7644036,2794356.0,0.0006098006123772347,"2900 Eglinton Avenue East, Toronto, Ontario, Canada",POINT (-79.2382775 43.7393954),43.7393954,-79.2382775
Ashdale Pharmacy,Ashdale Pharmacy,Toronto,1568 Queen Street East,M4L1E9,-8829722.80469922,5413893.8542331,2794356.0,0.0006098006123772347,"1568 Queen Street East, Toronto, Ontario, Canada",POINT (-79.3188048 43.665978433333336),43.665978433333336,-79.3188048
Asian Community AIDS Services,Asian Community AIDS Services,Toronto,260 Spadina Avenue,M5T2E4,-8838570.0548134,5411735.06580584,2794356.0,0.0006098006123772347,"260 Spadina Avenue, Toronto, Ontario, Canada",POINT (-79.39824329511455 43.65191555),43.65191555,-79.39824329511455
Aspira Kensington Place Retirement Living,Aspira Kensington Place Retirement Living,Toronto,866 Sheppard Avenue West,M3H2T5,-8844778.97733604,5427243.49715311,2794356.0,0.0006098006123772347,"866 Sheppard Avenue West, Toronto, Ontario, Canada",POINT (-79.45390335882352 43.752403364705884),43.752403364705884,-79.45390335882352
Atria Compounding Pharmacy,Atria Compounding Pharmacy,Toronto,69 Lebovic Avenue,M1L0H2,-8826297.11434929,5422679.09601029,2794356.0,0.0006098006123772347,"69 Lebovic Avenue, Toronto, Ontario, Canada",POINT (-79.287858 43.7227838),43.7227838,-79.287858
Atria Pharmacy,Atria Pharmacy,Toronto,2187 Sheppard Avenue East,M2J5C2,-8831022.71578906,5430662.79640886,2794356.0,0.0006098006123772347,"2187 Sheppard Avenue East, Toronto, Ontario, Canada",POINT (-79.330617652 43.774888664),43.774888664,-79.330617652
Augusta Central Pharmacy,Augusta Central Pharmacy,Toronto,360 College Street,M5T1S6,-8839265.03352637,5412566.70716956,2794356.0,0.0006098006123772347,"360 College Street, Toronto, Ontario, Canada",POINT (-79.4043338 43.6572993),43.6572993,-79.4043338
Austins Drug Mart,Austins Drug Mart,Toronto,4235 Sheppard Avenue East,M1S1T7,-8825081.43871813,5432267.98350369,2794356.0,0.0006098006123772347,"4235 Sheppard Avenue East, Toronto, Ontario, Canada",POINT (-79.27707452761194 43.7852595),43.7852595,-79.27707452761194
Ava Pharmacy,Ava Pharmacy,Toronto,81 St Clair Avenue East,M4T1M7,-8837736.83955676,5417359.22752537,2794356.0,0.0006098006123772347,"81 St Clair Avenue East, Toronto, Ontario, Canada",POINT (-79.3907567 43.688501),43.688501,-79.3907567
Axis 3000 Medical Pharmacy,Axis 3000 Medical Pharmacy,Toronto,3000 Lawrence Avenue East,M1P2V1,-8822021.78911784,5427624.42181289,2794356.0,0.0006098006123772347,"3000 Lawrence Avenue East, Toronto, Ontario, Canada",POINT (-79.2486043778185 43.755016277978314),43.755016277978314,-79.2486043778185
Ayda Pharmacy,Ayda Pharmacy,Toronto,1801 Eglinton Avenue West,M6E2H8,-8844224.66504858,5418481.21246725,2794356.0,0.0006098006123772347,"1801 Eglinton Avenue West, Toronto, Ontario, Canada",POINT (-79.44907932999999 43.69580749),43.69580749,-79.44907932999999
Aylest Allergy Laboratory Ltd,Aylest Allergy Laboratory Ltd,Toronto,3267 Bloor Street West,M8X1E2,-8851887.51719158,5410786.12108142,2794356.0,0.0006098006123772347,"3267 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.51765155 43.645822216666666),43.645822216666666,-79.51765155
B & a Medical Pharmacy,B & a Medical Pharmacy,Toronto,15 Roncesvalles Avenue,M6R2K2,-8843885.84992946,5409802.171911,2794356.0,0.0006098006123772347,"15 Roncesvalles Avenue, Toronto, Ontario, Canada",POINT (-79.4460882 43.6392907),43.6392907,-79.4460882
B. Well Pharmacy,B. Well Pharmacy,Toronto,262 Manitoba Street,M8Y4G9,-8848788.17106086,5407462.42912599,2794356.0,0.0006098006123772347,"262 Manitoba Street, Toronto, Ontario, Canada",POINT (-79.4890312 43.6241364),43.6241364,-79.4890312
Balance for Blind Adults,Balance for Blind Adults,Toronto,4920 Dundas Street West,M9A1B7,-8853139.3159975,5411224.02783983,2794356.0,0.0006098006123772347,"4920 Dundas Street West, Toronto, Ontario, Canada",POINT (-79.52910364285714 43.64860556285714),43.64860556285714,-79.52910364285714
"Barbra Schlifer Commemorative Clinic, The","Barbra Schlifer Commemorative Clinic, The",Toronto,489 College Street,M6G1A5,-8839779.97522688,5412352.09677441,2794356.0,0.0006098006123772347,"489 College Street, Toronto, Ontario, Canada",POINT (-79.4091352 43.6560128),43.6560128,-79.4091352
Bathurst,Bathurst-Wilson Pharmacy,Toronto,322 Wilson Avenue,M3H1S8,-8842850.36715805,5424861.7532182,2794356.0,0.0006098006123772347,"322 Wilson Avenue, Toronto, Ontario, Canada",POINT (-79.4367218 43.7369487),43.7369487,-79.4367218
Bathurst Drug Mart,Bathurst Drug Mart,Toronto,5987 Bathurst Street,M2R1Z3,-8843850.69523427,5432437.67695039,2794356.0,0.0006098006123772347,"5987 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.44593 43.785962),43.785962,-79.44593
Bathurst Lawrence Nuclear Imaging Inc.,Bathurst Lawrence Nuclear Imaging Inc.,Toronto,491 Lawrence Avenue West,M5M1C7,-8841975.94142592,5422070.98575785,2794356.0,0.0006098006123772347,"491 Lawrence Avenue West, Toronto, Ontario, Canada",POINT (-79.4288823 43.7192148),43.7192148,-79.4288823
Bathurst Medical Centre X,Bathurst Medical Centre X-Ray & Ultrasound,Toronto,4256 Bathurst Street,M3H5Y8,-8842978.55155169,5427015.0762769,2794356.0,0.0006098006123772347,"4256 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.4376594 43.7513218),43.7513218,-79.4376594
Bay Cardiac Diagnostic Inc.,Bay Cardiac Diagnostic Inc.,Toronto,790 Bay Street,M5G1N8,-8837215.61943697,5413052.84553819,2794356.0,0.0006098006123772347,"790 Bay Street, Toronto, Ontario, Canada",POINT (-79.3859542 43.6604968),43.6604968,-79.3859542
Bay College Drug Mart,Bay College Drug Mart,Toronto,790 Bay Street,M5G1N8,-8837215.61943697,5413052.84553819,2794356.0,0.0006098006123772347,"790 Bay Street, Toronto, Ontario, Canada",POINT (-79.3859542 43.6604968),43.6604968,-79.3859542
Baycrest Centre for Geriatric Care,Baycrest Centre for Geriatric Care,Toronto,3560 Bathurst Street,M6A2E1,-8842515.78529652,5423837.4967227,2794356.0,0.0006098006123772347,"3560 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.43409194469027 43.7302646),43.7302646,-79.43409194469027
Baycrest Hospital,Baycrest Hospital,Toronto,3560 Bathurst Street,M6A2E1,-8842515.78529652,5423837.4967227,2794356.0,0.0006098006123772347,"3560 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.43409194469027 43.7302646),43.7302646,-79.43409194469027
Baycrest Terraces,Baycrest Terraces,Toronto,55 Ameer Avenue,M6A2Z1,-8843207.60253595,5423601.87357786,2794356.0,0.0006098006123772347,"55 Ameer Avenue, Toronto, Ontario, Canada",POINT (-79.4399817796986 43.728962300000006),43.728962300000006,-79.4399817796986
Bayview & Sheppard Diagnostic Clinic,Bayview & Sheppard Diagnostic Clinic,Toronto,701 Sheppard Avenue East,M2K2Z3,-8836259.21803183,5429673.47369728,2794356.0,0.0006098006123772347,"701 Sheppard Avenue East, Toronto, Ontario, Canada",POINT (-79.3768045 43.7690234),43.7690234,-79.3768045
