,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Cochrane, Unorganized, South West Part","NO","5","0","...","38","2","1,800.0","4","1","300.0","552.18","0.0","4,760","548"
"Constance Lake 92","IRI","741","590","25.6","242","214","13.1","228","191","19.4","25.69","28.8","2,457","391"
"Factory Island 1","IRI","1,376","1,560","-11.8","462","501","-7.8","398","430","-7.4","3.25","423.7","1,761","333"
"Fauquier-Strickland","TP","467","536","-12.9","278","387","-28.2","227","263","-13.7","1,010.45","0.5","3,014","432"
"Flying Post 73","IRI","0","0","...","0","0","...","0","0","...","58.17","0.0","4,831","555"
"Fort Albany (Part) 67","IRI","775","759","2.1","237","239","-0.8","200","207","-3.4","3.52","220.3","2,402","382"
"Hearst","T","4,794","5,070","-5.4","2,373","2,466","-3.8","2,254","2,379","-5.3","98.06","48.9","758","236"
"Iroquois Falls","T","4,418","4,537","-2.6","2,153","2,245","-4.1","1,977","2,029","-2.6","599.03","7.4","797","239"
"Kapuskasing","T","8,057","8,292","-2.8","4,134","4,087","1.1","3,790","3,801","-0.3","83.98","95.9","510","175"
"Mattice-Val Côté","TP","542","648","-16.4","260","338","-23.1","241","302","-20.2","412.81","1.3","2,837","420"
"Moonbeam","TP","1,157","1,231","-6.0","759","768","-1.2","524","544","-3.7","234.46","4.9","1,940","343"
"Moose Factory 68","IRI","0","0","...","0","0","...","0","0","...","169.16","0.0","4,831","555"
"Moosonee","TV","1,512","1,481","2.1","629","633","-0.6","487","487","0.0","547.83","2.8","1,659","325"
"New Post 69A","IRI","128","94","36.2","38","30","26.7","35","27","29.6","1.29","99.5","4,136","515"
"Opasatika","TP","200","226","-11.5","110","132","-16.7","101","107","-5.6","327.09","0.6","3,866","493"
"Smooth Rock Falls","T","1,200","1,330","-9.8","650","693","-6.2","582","624","-6.7","199.73","6.0","1,896","341"
"Timmins","CY","41,145","41,788","-1.5","19,390","19,317","0.4","17,886","17,740","0.8","2,955.33","13.9","127","53"
"Val Rita-Harty","TP","757","762","-0.7","382","357","7.0","326","330","-1.2","378.89","2.0","2,430","384"
"Amaranth","TP","4,327","4,079","6.1","1,428","1,376","3.8","1,372","1,335","2.8","265.02","16.3","812","242"
"East Garafraxa","TP","2,794","2,579","8.3","944","922","2.4","903","854","5.7","166.50","16.8","1,100","284"
"Grand Valley","T","3,851","2,956","30.3","1,445","1,145","26.2","1,397","1,106","26.3","158.60","24.3","886","256"
"Melancthon","TP","3,132","3,008","4.1","1,104","1,124","-1.8","1,035","1,037","-0.2","310.39","10.1","1,012","273"
"Mono","T","9,421","8,609","9.4","3,327","3,127","6.4","3,131","2,919","7.3","278.37","33.8","451","160"
"Mulmur","TP","3,571","3,478","2.7","1,682","1,674","0.5","1,388","1,315","5.6","286.17","12.5","921","262"
"Orangeville 4","T","30,167","28,900r","4.4","11,308","10,695r","5.7","11,059","10,564r","4.7","15.16","1,989.5","157","62"
"Shelburne","T","8,994","8,126","10.7","3,150","2,825","11.5","3,025","2,787","8.5","6.56","1,370.8","465","168"
"Ajax","T","126,666","119,677","5.8","40,275","38,105","5.7","39,488","37,549","5.2","66.64","1,900.6","46","23"
"Brock","TP","12,567","11,642","7.9","5,297","5,035","5.2","4,788","4,543","5.4","422.64","29.7","344","125"
"Clarington","MU","101,427","92,013","10.2","36,852","33,384","10.4","35,953","32,838","9.5","610.84","166.0","55","28"
"Mississaugas of Scugog Island","IRI","125","131","-4.6","51","61","-16.4","49","52","-5.8","2.57","48.6","4,150","518"
"Oshawa","CY","175,383","159,458","10.0","69,324","64,883","6.8","66,634","62,595","6.5","145.72","1,203.6","29","14"
"Pickering","CY","99,186","91,771","8.1","34,327","31,630","8.5","33,425","30,919","8.1","231.10","429.2","59","29"
"Scugog","TP","21,581","21,617","-0.2","8,734","8,697","0.4","8,243","8,218","0.3","474.38","45.5","208","82"
"Uxbridge","TP","21,556","21,176","1.8","8,310","7,946","4.6","8,008","7,663","4.5","420.52","51.3","209","83"
"Whitby","T","138,501","128,377","7.9","47,389","44,195","7.2","46,460","43,529","6.7","146.69","944.1","40","18"
"Aylmer","T","7,699","7,492","2.8","3,177","3,031","4.8","3,067","2,961","3.6","6.37","1,208.6","531","184"
"Bayham","MU","7,096","7,396","-4.1","2,435","2,557","-4.8","2,264","2,393","-5.4","244.60","29.0","577","201"
"Central Elgin","MU","13,746","12,607","9.0","5,845","5,324","9.8","5,460","4,922","10.9","279.87","49.1","317","116"
"Dutton/Dunwich","MU","4,152","3,866","7.4","1,677","1,556","7.8","1,596","1,481","7.8","294.38","14.1","835","246"
"Malahide","TP","9,308","9,292","0.2","3,178","3,155","0.7","3,013","2,943","2.4","394.27","23.6","454","162"
"Southwold","TP","4,851","4,421","9.7","1,760","1,655","6.3","1,713","1,607","6.6","301.38","16.1","754","234"
"St. Thomas","CY","42,840","38,909","10.1","18,596","17,114","8.7","18,062","16,586","8.9","35.61","1,203.2","122","52"
"West Elgin","MU","5,060","4,995","1.3","2,221","2,221","0.0","2,103","2,102","0.0","322.09","15.7","725","229"
"Amherstburg","T","23,524","21,936","7.2","9,548","8,951","6.7","9,193","8,522","7.9","183.76","128.0","189","74"
"Essex","T","21,216","20,427","3.9","8,880","8,694","2.1","8,391","8,080","3.8","277.53","76.4","213","85"
"Kingsville","T","22,119","21,552","2.6","8,635","8,359","3.3","8,285","7,973","3.9","246.08","89.9","203","78"
"LaSalle","T","32,721","30,180","8.4","11,922","10,793","10.5","11,644","10,689","8.9","64.96","503.7","149","60"
"Lakeshore","T","40,410","36,611","10.4","14,954","13,900","7.6","14,386","13,185","9.1","529.00","76.4","129","54"
"Leamington","MU","29,680","27,595","7.6","11,219","10,726","4.6","10,547","9,995","5.5","261.24","113.6","160","63"
"Pelee","TP","230","235","-2.1","374","382","-2.1","122","93","31.2","41.03","5.6","3,747","487"
"Tecumseh","T","23,300","23,229","0.3","9,111","8,987","1.4","8,946","8,884","0.7","94.59","246.3","191","75"
"Windsor","CY","229,660","217,188","5.7","99,803","97,777","2.1","94,273","91,632","2.9","146.02","1,572.8","23","10"
"Central Frontenac","TP","4,892","4,373","11.9","3,618","3,726","-2.9","2,177","1,885","15.5","991.41","4.9","750","233"
"Frontenac Islands","TP","1,930","1,760","9.7","1,212","1,273","-4.8","903","783","15.3","176.82","10.9","1,411","310"
"Kingston","CY","132,485","123,798","7.0","63,095","59,977","5.2","57,836","53,518","8.1","451.58","293.4","45","22"
"North Frontenac 4","TP","2,285","1,903r","20.1","2,798","2,968r","-5.7","1,131","925r","22.3","1,157.97","2.0","1,264","301"
"South Frontenac","TP","20,188","18,646","8.3","9,503","9,213","3.1","7,937","7,186","10.5","948.05","21.3","223","88"
"Greater Sudbury / Grand Sudbury","CV","166,004","161,531","2.8","75,967","75,029","1.3","71,476","69,152","3.4","3,186.26","52.1","31","15"
"Wahnapitei 11","IRI","124","116","6.9","69","74","-6.8","49","48","2.1","10.59","11.7","4,157","521"
"Chatsworth","TP","7,080","6,630","6.8","3,094","2,988","3.5","2,699","2,551","5.8","594.44","11.9","580","203"
"Georgian Bluffs","TP","11,100","10,479","5.9","5,269","5,069","3.9","4,495","4,258","5.6","599.96","18.5","391","137"
"Grey Highlands","MU","10,424","9,804","6.3","5,337","5,299","0.7","4,091","3,904","4.8","879.03","11.9","414","145"
"Hanover","T","7,967","7,688","3.6","3,788","3,404","11.3","3,445","3,336","3.3","9.78","814.6","516","176"
"Meaford","MU","11,485","10,991","4.5","5,828","5,590","4.3","5,035","4,830","4.2","587.57","19.5","375","132"
"Owen Sound","CY","21,612","21,341","1.3","10,406","10,098","3.1","9,895","9,630","2.8","24.21","892.6","207","81"
"Southgate","TP","8,716","7,354","18.5","3,257","2,987","9.0","3,017","2,710","11.3","643.08","13.6","479","169"
"The Blue Mountains","T","9,390","7,025","33.7","7,396","6,477","14.2","4,348","3,271","32.9","284.65","33.0","453","161"
"West Grey","MU","13,131","12,518","4.9","5,808","5,648","2.8","5,284","5,073","4.2","875.21","15.0","334","122"
"Haldimand County","CY","49,216","45,608","7.9","20,710","19,472","6.4","18,719","17,502","7.0","1,250.45","39.4","106","44"
"New Credit (Part) 40A","IRI","166","135","23.0","58","57","1.8","52","50","4.0","5.08","32.7","3,989","501"
"Norfolk County","CY","67,490","64,044","5.4","30,085","28,720","4.8","27,594","26,007","6.1","1,597.68","42.2","87","37"
"Six Nations (Part) 40 3","IRI","..","..","..","..","..","..","..","..","..","30.59","..","..",".."
"Algonquin Highlands","TP","2,588","2,351","10.1","3,325","3,453","-3.7","1,269","1,108","14.5","999.69","2.6","1,160","293"
"Dysart et al","MU","7,182","6,280","14.4","7,298","7,083","3.0","3,341","2,891","15.6","1,474.22","4.9","575","200"
"Highlands East","MU","3,830","3,343","14.6","4,430","4,485","-1.2","1,875","1,611","16.4","688.18","5.6","889","257"
"Minden Hills","TP","6,971","6,088","14.5","6,019","6,092","-1.2","3,229","2,833","14.0","847.37","8.2","586","204"
"Burlington","CY","186,948","183,314","2.0","74,891","72,535","3.2","73,180","71,373","2.5","186.12","1,004.4","28","13"
"Halton Hills","T","62,951","61,161","2.9","22,252","21,475","3.6","21,825","21,078","3.5","276.81","227.4","91","38"
"Milton","T","132,979","110,128","20.7","41,000","35,537","15.4","40,038","34,257","16.9","363.83","365.5","43","21"
"Oakville","T","213,759","193,832","10.3","76,179","68,617","11.0","73,558","66,269","11.0","138.94","1,538.5","25","11"
"Hamilton","C","569,353","536,917","6.0","233,564","222,918","4.8","222,807","211,596","5.3","1,118.31","509.1","10","5"
"Bancroft","T","4,065","3,881","4.7","2,007","1,944","3.2","1,801","1,750","2.9","227.54","17.9","851","249"
"Belleville","CY","55,071","50,716","8.6","24,582","22,744","8.1","23,536","21,732","8.3","247.15","222.8","99","41"
"Carlow/Mayo","TP","953","864","10.3","663","627","5.7","416","377","10.3","385.32","2.5","2,174","369"
"Centre Hastings","MU","4,801","4,774","0.6","2,180","2,161","0.9","1,939","1,904","1.8","222.79","21.5","757","235"
"Deseronto","T","1,747","1,774","-1.5","803","775","3.6","723","741","-2.4","2.52","693.5","1,514","316"
"Faraday","TP","1,612","1,401","15.1","1,290","1,261","2.3","755","631","19.7","217.44","7.4","1,586","318"
"Hastings Highlands","MU","4,385","4,078","7.5","3,529","3,684","-4.2","2,007","1,820","10.3","966.58","4.5","804","241"
"Limerick","TP","436","346","26.0","533","541","-1.5","206","158","30.4","201.04","2.2","3,089","440"
"Madoc","TP","2,233","2,078","7.5","934","889","5.1","868","804","8.0","274.58","8.1","1,290","304"
"Marmora and Lake","MU","4,267","3,953","7.9","2,578","2,521","2.3","1,887","1,726","9.3","538.24","7.9","823","244"
"Quinte West","CY","46,560","43,577","6.8","19,888","18,646","6.7","19,056","17,828","6.9","495.45","94.0","114","48"
"Stirling-Rawdon","TP","5,015","4,882","2.7","2,074","2,029","2.2","1,971","1,896","4.0","282.48","17.8","735","231"
"Tudor and Cashel","TP","740","586","26.3","758","768","-1.3","352","268","31.3","433.31","1.7","2,459","392"
"Tweed","MU","6,067","6,044","0.4","3,042","3,023","0.6","2,591","2,569","0.9","918.61","6.6","644","213"
"Tyendinaga 4","TP","4,538","4,226r","7.4","1,730","1,604r","7.9","1,650","1,523r","8.3","312.42","14.5","786","238"
"Tyendinaga Mohawk Territory 4","IRI","2,535","2,595r","-2.3","1,170","1,128r","3.7","1,031","978r","5.4","72.02","35.2","1,180","296"
"Wollaston","TP","721","670","7.6","757","791","-4.3","352","312","12.8","215.87","3.3","2,487","395"
"Ashfield-Colborne-Wawanosh","TP","5,884","5,422","8.5","3,149","3,030","3.9","2,357","2,107","11.9","586.88","10.0","661","219"
"Bluewater","MU","7,540","7,136","5.7","4,882","4,532","7.7","3,302","3,027","9.1","416.70","18.1","541","190"
"Central Huron","MU","7,799","7,576","2.9","3,917","3,823","2.5","3,267","3,127","4.5","449.43","17.4","528","181"
"Goderich","T","7,881","7,628","3.3","3,899","3,676","6.1","3,667","3,482","5.3","8.54","923.1","522","178"
"Howick","TP","4,045","3,873","4.4","1,414","1,372","3.1","1,343","1,295","3.7","286.55","14.1","854","250"
"Huron East","MU","9,512","9,138","4.1","3,912","3,825","2.3","3,707","3,630","2.1","669.15","14.2","445","158"
"Morris-Turnberry","MU","3,590","3,496","2.7","1,283","1,258","2.0","1,195","1,192","0.3","376.89","9.5","919","261"
"North Huron","TP","5,052","4,932","2.4","2,277","2,209","3.1","2,157","2,085","3.5","179.01","28.2","728","230"
"South Huron","MU","10,063","10,096","-0.3","4,722","4,644","1.7","4,339","4,249","2.1","425.12","23.7","428","150"
"Kawartha Lakes","CY","79,247","75,423","5.1","38,947","38,444","1.3","32,708","31,106","5.2","3,033.66","26.1","76","33"
"Attawapiskat 91A","IRI","1,586","1,501","5.7","404","415","-2.7","359","387","-7.2","1.75","905.0","1,608","320"
"Bearskin Lake","IRI","447","355","25.9","152","140","8.6","126","109","15.6","144.93","3.1","3,053","436"
"Cat Lake 63C","IRI","651","565","15.2","161","140","15.0","143","136","5.1","17.11","38.1","2,615","401"
"Deer Lake","IRI","1,087","867","25.4","330","244","35.2","262","211","24.2","13.65","79.6","2,013","347"
"Dryden","CY","7,388","7,749","-4.7","3,574","3,541","0.9","3,314","3,361","-1.4","65.58","112.7","560","196"
"Eagle Lake 27","IRI","257","224","14.7","110","100","10.0","101","97","4.1","32.38","7.9","3,649","477"
"Ear Falls","TP","924","995","-7.1","506","490","3.3","402","407","-1.2","336.69","2.7","2,215","372"
"English River 21","IRI","584","638","-8.5","230","223","3.1","182","198","-8.1","39.30","14.9","2,741","411"
"Fort Albany (Part) 67 3","IRI","..","1,404","..","..","284","..","..","251","..","363.79","..","..",".."
"Fort Hope 64","IRI","977","1,014","-3.6","349","239","46.0","258","233","10.7","239.29","4.1","2,138","361"
"Fort Severn 89","IRI","364","361","0.8","92","100","-8.0","92","81","13.6","42.64","8.5","3,305","457"
"Ignace","TP","1,206","1,202","0.3","664","711","-6.6","551","564","-2.3","72.13","16.7","1,888","339"
"Kasabonika Lake","IRI","1,060","849","24.9","252","212","18.9","228","179","27.4","101.73","10.4","2,041","350"
"Kee-Way-Win","IRI","409","421","-2.9","95","98","-3.1","92","89","3.4","182.45","2.2","3,154","444"
"Kenora","CY","14,967","15,096","-0.9","7,637","7,376","3.5","6,510","6,475","0.5","211.65","70.7","290","106"
"Kenora 38B","IRI","402","421","-4.5","145","144","0.7","133","134","-0.7","19.45","20.7","3,172","445"
"Kenora, Unorganized 4","NO","7,475","6,692r","11.7","7,310","6,612r","10.6","3,272","2,807r","16.6","388,982.20","0.0","548","192"
"Kingfisher Lake 1","IRI","511","511","0.0","127","114","11.4","117","103","13.6","9.12","56.0","2,908","428"
"Kitchenuhmaykoosib Aaki 84","IRI","1,029","1,024","0.5","289","327","-11.6","276","306","-9.8","277.01","3.7","2,075","353"
"Lac Seul 28","IRI","1,022","974","4.9","364","327","11.3","321","297","8.1","243.73","4.2","2,086","354"
"Lake of the Woods 37","IRI","49","62","-21.0","26","20","30.0","19","15","26.7","11.90","4.1","4,516","538"
"Lansdowne House","S-É","0","0","...","0","0","...","0","0","...","1.15","0.0","4,831","555"
"Machin","MU","1,012","971","4.2","632","597","5.9","457","439","4.1","290.14","3.5","2,097","355"
"Marten Falls 65","IRI","243","252","-3.6","85","77","10.4","69","64","7.8","79.00","3.1","3,711","482"
"Muskrat Dam Lake 3","IRI","..","281","..","..","112","..","..","84","..","24.71","..","..",".."
"Neskantaga","IRI","244","237","3.0","89","85","4.7","75","71","5.6","10.05","24.3","3,703","480"
"North Spirit Lake","IRI","265","293","-9.6","91","91","0.0","81","78","3.8","18.21","14.6","3,630","476"
"Northwest Angle 33B","IRI","52","95","-45.3","45","43","4.7","26","34","-23.5","12.41","4.2","4,501","537"
"Osnaburgh 63B","IRI","524","435","20.5","126","110","14.5","104","86","20.9","125.37","4.2","2,883","425"
"Peawanuck","S-É","247","195","26.7","97","82","18.3","90","68","32.4","3.22","76.7","3,691","479"
"Pickle Lake","TP","398","388","2.6","221","223","-0.9","155","146","6.2","247.21","1.6","3,184","447"
"Pikangikum 14 3","IRI","..","..","..","..","..","..","..","..","..","8.39","..","..",".."
"Poplar Hill","IRI","663","473","40.2","146","116","25.9","127","92","38.0","6.83","97.1","2,598","400"
"Rat Portage 38A","IRI","171","140","22.1","245","231","6.1","62","46","34.8","29.64","5.8","3,971","500"
"Red Lake","MU","4,094","4,107","-0.3","1,899","1,938","-2.0","1,703","1,682","1.2","602.93","6.8","845","247"
"Sabaskong Bay 35D","IRI","383","371","3.2","137","121","13.2","116","117","-0.9","5.01","76.5","3,232","449"
"Sachigo Lake 1","IRI","608","514","18.3","175","137","27.7","163","116","40.5","30.07","20.2","2,700","409"
"Sandy Lake 88","IRI","2,100","2,017","4.1","568","516","10.1","493","472","4.4","44.31","47.4","1,339","306"
"Shoal Lake (Part) 40","IRI","96","71","35.2","33","23","43.5","31","22","40.9","4.87","19.7","4,276","528"
"Shoal Lake 34B2","IRI","81","151","-46.4","39","57","-31.6","37","48","-22.9","1.85","43.7","4,344","532"
"Shoal Lake 39A","IRI","445","391","13.8","168","158","6.3","158","147","7.5","32.55","13.7","3,064","437"
"Sioux Lookout","MU","5,839","5,272","10.8","2,647","2,257","17.3","2,340","2,019","15.9","378.02","15.4","667","221"
"Sioux Narrows-Nestor Falls","TP","727","567","28.2","1,061","797","33.1","330","239","38.1","1,215.80","0.6","2,475","393"
"Slate Falls 4","IRI","299","232r","28.9","72","78r","-7.7","63","67r","-6.0","62.95","4.7","3,513","470"
"Summer Beaver","S-É","355","382","-7.1","113","102","10.8","87","88","-1.1","15.39","23.1","3,328","458"
"The Dalles 38C","IRI","180","194","-7.2","66","60","10.0","62","57","8.8","33.69","5.3","3,931","496"
"Wabaseemoong","IRI","815","827","-1.5","238","233","2.1","224","212","5.7","76.08","10.7","2,344","377"
"Wabauskang 21","IRI","57","70","-18.6","24","29","-17.2","20","26","-23.1","30.68","1.9","4,474","536"
"Wabigoon Lake 27","IRI","175","168","4.2","86","75","14.7","80","75","6.7","42.68","4.1","3,954","499"
"Wapekeka 2","IRI","456","440","3.6","135","127","6.3","117","110","6.4","27.20","16.8","3,031","434"
"Wawakapewin","IRI","16","22","-27.3","14","13","7.7","9","8","12.5","53.04","0.3","4,686","543"
"Weagamow Lake 87","IRI","921","886","4.0","240","266","-9.8","232","241","-3.7","89.84","10.3","2,218","373"
"Webequie","IRI","723","778","-7.1","171","165","3.6","166","154","7.8","320.35","2.3","2,482","394"
"Whitefish Bay 32A","IRI","610","575","6.1","211","191","10.5","186","174","6.9","18.36","33.2","2,697","407"
"Whitefish Bay 33A","IRI","94","96","-2.1","38","39","-2.6","33","34","-2.9","12.08","7.8","4,290","529"
"Whitefish Bay 34A","IRI","125","124","0.8","40","42","-4.8","35","37","-5.4","5.50","22.7","4,150","518"
"Wunnumin 1","IRI","587","593","-1.0","145","143","1.4","129","138","-6.5","64.00","9.2","2,737","410"
"Brooke-Alvinston","MU","2,359","2,411","-2.2","983","994","-1.1","918","947","-3.1","311.41","7.6","1,244","300"
"Dawn-Euphemia","TP","1,968","1,967","0.1","824","843","-2.3","766","767","-0.1","445.14","4.4","1,397","308"
"Enniskillen","TP","2,825","2,796","1.0","1,087","1,093","-0.5","1,041","1,056","-1.4","338.05","8.4","1,092","283"
"Kettle Point 44","IRI","1,233","1,011","22.0","775","765","1.3","512","427","19.9","9.32","132.3","1,866","338"
"Lambton Shores","MU","11,876","10,631","11.7","7,211","7,008","2.9","5,303","4,783","10.9","330.57","35.9","364","131"
"Oil Springs","VL","647","648","-0.2","283","285","-0.7","267","272","-1.8","8.14","79.5","2,626","403"
"Petrolia","T","6,013","5,742","4.7","2,524","2,323","8.7","2,460","2,277","8.0","12.46","482.6","648","216"
"Plympton-Wyoming","T","8,308","7,795","6.6","3,513","3,416","2.8","3,172","3,054","3.9","318.86","26.1","497","172"
"Point Edward","VL","1,930","2,037","-5.3","989","995","-0.6","938","958","-2.1","3.30","585.0","1,411","310"
"Sarnia","CY","72,047","71,594","0.6","33,902","33,324","1.7","32,188","31,937","0.8","163.90","439.6","83","36"
"Sarnia 45","IRI","648","639","1.4","278","274","1.5","262","255","2.7","12.58","51.5","2,621","402"
"St. Clair","TP","14,659","14,086","4.1","6,528","6,243","4.6","6,021","5,785","4.1","618.57","23.7","296","109"
"Walpole Island 46 3","IRI","..","1,589","..","..","782","..","..","610","..","137.43","..","..",".."
