X,Y,FID,OBJECTID,OGF_ID,MOH_SERVIC,SERVICE_TY,SERVICE__1,ENGLISH_NA,FRENCH_NAM,ENGLISH__1,FRENCH_N_1,ADDRESS_LI,ADDRESS__1,ADDRESS_DE,COMMUNITY,POSTAL_COD,GEOMETRY_U,EFFECTIVE_
-8891379.86539845,5489221.97928855,25,1025,1025,30609,Mental Health and Addiction Organization,Mental Health Services,York Support Services Network, , , ,106 Victoria Street West, ,Practice Location,New Tecumseth,L9R1L7,,2023/03/28 00:00:00+00
-8929413.76129669,5543202.48526185,26,1026,1026,3166,Mental Health and Addiction Organization,Mental Health Services,Simcoe Peer Support for Mental Health and Addictions, , , ,41 Elgin Street,Suite 201,Administration and Practice Location,Collingwood,L9Y3L6,,2023/03/28 00:00:00+00
-8519130.98361775,5498930.87230075,27,1027,1027,3176,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,752 King Street West, ,Administration and Practice Location,Kingston,K7L4X3,,2023/03/28 00:00:00+00
-8523532.63420736,5506947.92349023,28,1028,1028,4127,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,640 Cataraqui Woods Drive,Suite 2,Practice Location,Kingston,K7P2Y5,,2023/03/28 00:00:00+00
-8610982.91072914,5491470.84285433,29,1029,1029,4128,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,470 Dundas Street East, ,Practice Location,Belleville,K8N1G1,,2023/03/28 00:00:00+00
-8513973.00614379,5501901.42430902,30,1030,1030,4130,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,55 Rideau Street,"Suite Unit, 2",Practice Location,Kingston,K7K2Z8,,2023/03/28 00:00:00+00
-8514428.113618,5503499.69298733,31,1031,1031,4132,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,525 Montreal Street, ,Practice Location,Kingston,K7K3H9,,2023/03/28 00:00:00+00
-8566667.27822934,5505799.27546638,32,1032,1032,13027,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,111 Industrial Boulevard, ,Practice Location,Napanee,K7R3Z1,,2023/03/28 00:00:00+00
-8566169.31275117,5503692.46437829,33,1033,1033,22542,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,26 Dundas Street West, ,Practice Location,Napanee,K7R1Z4,,2023/03/28 00:00:00+00
-8514137.98162915,5501450.35164523,34,1034,1034,30360,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,303 Bagot Street,Suite 300,Practice Location,Kingston,K7K5W7,,2023/03/28 00:00:00+00
-9016595.19011625,5368196.64941752,35,1035,1035,3178,Mental Health and Addiction Organization,Mental Health Services,Huron Perth Health Alliance, , , ,90 John Street South,"Special Services Unit, Stratford General",Administration and Practice Location,Stratford,N5A2Y8,,2023/03/28 00:00:00+00
-9011305.10980258,5424124.99746046,36,1036,1036,3179,Mental Health and Addiction Organization,Mental Health Services,Huron Perth Health Alliance, , , ,285 Sarah Avenue North, ,Practice Location,Listowel,N4W2Y8,,2023/03/28 00:00:00+00
-9059689.64780206,5396383.20786332,37,1037,1037,3180,Mental Health and Addiction Organization,Mental Health Services,Huron Perth Health Alliance, , , ,28 Centennial Drive, ,Practice Location,Seaforth,N0K1W0,,2023/03/28 00:00:00+00
-9016375.70147626,5368179.72843456,38,1038,1038,31032,Mental Health and Addiction Organization,Mental Health Services,Huron Perth Health Alliance, , , ,46 General Hospital Drive, ,Practice Location,Stratford,N5A2Y6,,2023/03/28 00:00:00+00
-8834958.12695538,5412747.4712124,39,1039,1039,3186,Mental Health and Addiction Organization,Mental Health Services,Sound Times Support Services, , , ,280 Parliament Street, ,Administration and Practice Location,Toronto,M5A3A4,,2023/03/28 00:00:00+00
-8721641.01903177,5512098.67130353,40,1040,1040,3198,Mental Health and Addiction Organization,Mental Health Services,Peterborough Regional Health Centre, , , ,1 Hospital Drive, ,Administration and Practice Location,Peterborough,K9J7C6,,2023/03/28 00:00:00+00
-8718518.38486358,5512617.18801412,41,1041,1041,30229,Mental Health and Addiction Organization,Addiction Services,Peterborough Regional Health Centre, , , ,360 George Street North,Peterborough 360 Degree Nurse Practitioner-Led Clinic,Practice Location,Peterborough,K9H7E7,,2023/03/28 00:00:00+00
-8831047.74041059,5416297.44409731,42,1042,1042,3200,Mental Health and Addiction Organization,Mental Health Services,East York Mental Health Counselling Services Agency, , , ,1245 Danforth Avenue,"Suite Suite, 2",Administration and Practice Location,Toronto,M4J1M8,,2023/03/28 00:00:00+00
-8835950.26191708,5411383.61166773,43,1043,1043,3212,Mental Health and Addiction Organization,Mental Health Services,Institute for Advancements in Mental Health, , , ,95 King Street East,Suite 300,Administration and Practice Location,Toronto,M5C1G4,,2023/03/28 00:00:00+00
-9061374.73546199,5335609.5855238,44,1044,1044,3220,Mental Health and Addiction Organization,Mental Health Services,Crest Support Services, , , ,13570 Elginfield Road, ,Administration and Practice Location,Lucan,N0M2J0,,2023/03/28 00:00:00+00
-9053100.03488481,6186007.05352925,45,1045,1045,3224,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,330 Second Avenue,Suite 201,Administration and Practice Location,Timmins,P4N8A4,,2023/03/28 00:00:00+00
-8909238.50621599,6131806.1744996,46,1046,1046,3225,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,5 Kirkland Street West, ,Practice Location,Kirkland Lake,P2N1N9,,2023/03/28 00:00:00+00
-8868880.66010015,6025426.20370434,47,1047,1047,3226,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,20 May Street South,Centre de sant� communautaire du T�miskaming,Practice Location,Temiskaming Shores,P0J1P0,,2023/03/28 00:00:00+00
-8892118.73738664,6077405.22520921,48,1048,1048,13174,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,63 5th Street,Englehart and District Family Health Team,Practice Location,Englehart,P0J1H0,,2023/03/28 00:00:00+00
-8868760.81353636,6025521.83737352,49,1049,1049,16915,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,11 Riverside Drive,Suite 5B,Practice Location,Temiskaming Shores,P0J1P0,,2023/03/28 00:00:00+00
-9034909.08312335,6189660.26434952,50,1050,1050,18588,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,520 Queen Street, ,Practice Location,Timmins,P0N1C0,,2023/03/28 00:00:00+00
-8841789.19184817,5474290.18483123,51,1051,1051,3227,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch, , , ,1101 Nicholson Road,Suite 5,Administrative Office,Newmarket,L3Y9C3,,2023/03/28 00:00:00+00
-8847655.72901297,5472296.7716382,52,1052,1052,3230,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch, , , ,50 Eagle Street West,"Room 2088, Newmarket Provincial Courthouse,",Practice Location,Newmarket,L3Y6B1,,2023/03/28 00:00:00+00
-8846247.19236401,5465028.47783602,53,1053,1053,3231,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch, , , ,15150 Yonge Street,Suite 201,Practice Location,Aurora,L4G1M2,,2023/03/28 00:00:00+00
-8831887.4121977,5442862.8308758,54,1054,1054,3232,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch, , , ,3601 Highway 7 East,"Suite 710, HSBC Tower",Practice Location,Markham,L3R0M3,,2023/03/28 00:00:00+00
-8890856.3187013,5489313.53622493,55,1055,1055,3234,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch, , , ,35 Victoria Street East,Suite 1,Practice Location,New Tecumseth,L9R1W1,,2023/03/28 00:00:00+00
-8850029.4056471,5436736.45799158,56,1056,1056,8872,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) York Region Branch, , , ,8271 Keele Street,Suite 2,Practice Location,Vaughan,L4K1Z1,,2023/03/28 00:00:00+00
-8784437.20094833,5447847.6557167,57,1057,1057,3239,Mental Health and Addiction Organization,Mental Health Services,Victorian Order of Nurses (VON) Canada - Ontario Branch, , , ,1615 Dundas Street East,"Suite 304, , Lang Tower West Building, Whitby Mall",Administration and Practice Location,Whitby,L1N2L1,,2023/03/28 00:00:00+00
-10518538.0757062,6406305.01136054,58,1058,1058,3242,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Kenora Association for Community Living, , , ,12 Main Street, ,Practice Location,Kenora,P9N1S7,,2023/03/28 00:00:00+00
-10517294.7149177,6404800.5275152,59,1059,1059,13902,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Kenora Association for Community Living, , , ,501 Eighth Avenue South, ,Administrative Office,Kenora,P9N3Z9,,2023/03/28 00:00:00+00
-10518345.3594037,6405909.84657159,60,1060,1060,3247,Mental Health and Addiction Organization,Mental Health Services,Kenora Sexual Assault Centre, , , ,101 Chipman Street, ,Administration and Practice Location,Kenora,P9N1V7,,2023/03/28 00:00:00+00
-8705010.23219768,5461999.29603942,61,1061,1061,12618,Mental Health and Addiction Organization,Mental Health Services,Northumberland Hills Hospital, , , ,1000 DePalma Drive, ,Practice Location,Cobourg,K9A5W6,,2023/03/28 00:00:00+00
-8704752.01550683,5461025.25316149,62,1062,1062,12619,Mental Health and Addiction Organization,Mental Health Services,Northumberland Hills Hospital, , , ,1011 Elgin Street West,Suite 200,Administration and Practice Location,Cobourg,K9A5J4,,2023/03/28 00:00:00+00
-9053100.03488481,6186007.05352925,63,1063,1063,3251,Mental Health and Addiction Organization,Mental Health Services,Timmins Consumer Survivor Network (TCSN) Inc., , , ,330 2nd Avenue,Suite 102,Administration and Practice Location,Timmins,P4N8A4,,2023/03/28 00:00:00+00
-8982579.03727973,6235563.9343531,64,1064,1064,3252,Mental Health and Addiction Organization,Mental Health Services,Timmins Consumer Survivor Network (TCSN) Inc., , , ,1299 Victoria Road, ,Practice Location,Iroquois Falls,P0K1G0,,2023/03/28 00:00:00+00
-9019621.74443194,6285343.21808659,65,1065,1065,3253,Mental Health and Addiction Organization,Mental Health Services,Timmins Consumer Survivor Network (TCSN) Inc., , , ,120 Sixth Avenue, ,Practice Location,Cochrane,P0L1C0,,2023/03/28 00:00:00+00
-9242583.5302779,5206091.39189155,66,1066,1066,3269,Mental Health and Addiction Organization,Mental Health Services,Bulimia Anorexia Nervosa Association (BANA), , , ,1500 Ouellette Avenue,Suite 100,Administration and Practice Location,Windsor,N8X1K7,,2023/03/28 00:00:00+00
-9241507.23778116,5209197.93131773,67,1067,1067,30296,Mental Health and Addiction Organization,Mental Health Services,Mental Health Consumer/Survivor Employment Association of Essex County (MHCSEAEC), , , ,1412 Wyandotte Street East, ,Administration and Practice Location,Windsor,N9A3K9,,2023/03/28 00:00:00+00
-8780849.86356582,5448495.11316104,68,1068,1068,3284,Mental Health and Addiction Organization,Mental Health Services,Alzheimer Society of Durham Region, , , ,419 King Street West,Suite 207,Administration and Practice Location,Oshawa,L1J2K5,,2023/03/28 00:00:00+00
-9933899.09729364,6175017.34990299,69,1069,1069,3292,Mental Health and Addiction Organization,Mental Health Services,Sexual Abuse Centre (Thunder Bay), , , ,385 Mooney Street, ,Administration and Practice Location,Thunder Bay,P7B5L5,,2023/03/28 00:00:00+00
-8836704.80768957,5412188.0804325,70,1070,1070,3293,Mental Health and Addiction Organization,Addiction Services,Trinity Square Cafe, , , ,10 Trinity Square, ,Administrative Office,Toronto,M5G1B1,,2023/03/28 00:00:00+00
-8893202.95583112,5582044.63393485,71,1071,1071,3309,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes, , , ,582 Hugel Avenue, ,Administration and Practice Location,Midland,L4R1W3,,2023/03/28 00:00:00+00
-8871514.17868969,5525021.85142061,72,1072,1072,3310,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes, , , ,80 Bradford Street,Suite 143,Practice Location,Barrie,L4N6S7,,2023/03/28 00:00:00+00
-8890802.74063038,5489289.7663985,73,1073,1073,4046,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes, , , ,39 Victoria Street East, ,Practice Location,New Tecumseth,L9R1T3,,2023/03/28 00:00:00+00
-8929309.46606576,5543187.01829762,74,1074,1074,4047,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes, , , ,150 St. Paul Street, ,Practice Location,Collingwood,L9Y3P1,,2023/03/28 00:00:00+00
-9019221.28369577,6286708.81744875,75,1075,1075,3330,Mental Health and Addiction Organization,Mental Health Services,Minto Counselling Centre, , , ,233 Eighth Street,Suite 5,Administration and Practice Location,Cochrane,P0L1C0,,2023/03/28 00:00:00+00
-8981778.79485626,6235830.23258396,76,1076,1076,3331,Mental Health and Addiction Organization,Mental Health Services,Minto Counselling Centre, , , ,58 Anson,Suite A,Practice Location,Iroquois Falls,P0K1E0,,2023/03/28 00:00:00+00
-8957897.53581587,6197039.28129698,77,1077,1077,3332,Mental Health and Addiction Organization,Mental Health Services,Minto Counselling Centre, , , ,507 8th Avenue, ,Practice Location,Matheson,P0K1N0,,2023/03/28 00:00:00+00
-8843278.98059345,5409833.84358518,78,1078,1078,3341,Mental Health and Addiction Organization,Mental Health Services,"Parkdale Activity - Recreation Centre (PARC), The", , , ,1499 Queen Street West, ,Administration and Practice Location,Toronto,M6R1A3,,2023/03/28 00:00:00+00
-8835429.98801295,5412775.19852605,79,1079,1079,3351,Mental Health and Addiction Organization,Mental Health Services,Street Health Community Nursing Foundation, , , ,338 Dundas Street East, ,Administration and Practice Location,Toronto,M5A2A1,,2023/03/28 00:00:00+00
-8836665.1890828,5414516.78522477,80,1080,1080,3358,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre, , , ,100 Charles Street East, ,Administration and Practice Location,Toronto,M4Y1V3,,2023/03/28 00:00:00+00
-8842309.32103694,5413040.150899,81,1081,1081,6839,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre, , , ,1045 Bloor Street West, ,Practice Location,Toronto,M6H1M4,,2023/03/28 00:00:00+00
-8840309.00997493,5430165.95583356,82,1082,1082,17638,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre, , , ,5248 Yonge Street, ,Practice Location,Toronto,M2N5P6,,2023/03/28 00:00:00+00
-8840913.9423518,5410611.01033845,83,1083,1083,30198,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Gerstein Crisis Centre, , , ,16 Ossington Street, ,Practice Location,Toronto,M6J2Y7,,2023/03/28 00:00:00+00
-8317780.66352686,5626399.20058471,84,1084,1084,3369,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Cornwall Community Hospital, , , ,850 McConnell Avenue, ,Administration and Practice Location,Cornwall,K6H4M3,,2023/03/28 00:00:00+00
-8317609.55433756,5626258.35202964,85,1085,1085,3370,Mental Health and Addiction Organization,Mental Health Services,Cornwall Community Hospital, , , ,840 McConnell Avenue, ,Practice Location,Cornwall,K6H5S5,,2023/03/28 00:00:00+00
-8321267.51280503,5626990.2309089,86,1086,1086,3372,Mental Health and Addiction Organization,Mental Health Services,Cornwall Community Hospital, , , ,1520 Cumberland Street, ,Practice Location,Cornwall,K6J4L1,,2023/03/28 00:00:00+00
-8317858.86546914,5624786.42569739,87,1087,1087,16168,Mental Health and Addiction Organization,Addiction Services,Cornwall Community Hospital, , , ,339 Second Street East, ,Practice Location,Cornwall,K6H1Y8,,2023/03/28 00:00:00+00
-8308302.97774047,5670347.69164898,88,1088,1088,16169,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Cornwall Community Hospital, , , ,55 Main Street South,Suite 4 & 5,Practice Location,Alexandria,K0C1A0,,2023/03/28 00:00:00+00
-8388285.51980578,5635491.80199575,89,1089,1089,16170,Mental Health and Addiction Organization,Addiction Services,Cornwall Community Hospital, , , ,566 Louise Street, ,Practice Location,Winchester,K0C2K0,,2023/03/28 00:00:00+00
-8388449.40436012,5635250.80090951,90,1090,1090,21876,Mental Health and Addiction Organization,Mental Health Services,Cornwall Community Hospital, , , ,530 Fred Street,Suite F,Practice Location,Winchester,K0C2K0,,2023/03/28 00:00:00+00
-9202192.4886899,5840983.73178676,91,1091,1091,3377,Mental Health and Addiction Organization,Mental Health Services,North Shore Community Support Services Inc., , , ,10 Paris Drive,Suite 6,Administration and Practice Location,Elliot Lake,P5A2L9,,2023/03/28 00:00:00+00
-8841888.53336175,5561689.72582715,92,1092,1092,3400,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Enaahtig Healing Lodge and Learning Centre, , , ,344 West Street North, ,Administration and Practice Location,Orillia,L3V5E3,,2023/03/28 00:00:00+00
-8936303.50269306,5335195.28144196,93,1093,1093,3404,Mental Health and Addiction Organization,Mental Health Services,Brant Community Healthcare System, , , ,200 Terrace Hill Street,East Wing,Administration and Practice Location,Brantford,N3R1G9,,2023/03/28 00:00:00+00
-8934099.96676866,5333136.02791561,94,1094,1094,30639,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Brant Community Healthcare System, , , ,347 Colborne Street East, ,Practice Location,Brantford,N3S3N2,,2023/03/28 00:00:00+00
-8862970.70833394,5297288.66533911,95,1095,1095,30640,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Brant Community Healthcare System, , , ,140 Broad Street East, ,Practice Location,Dunnville,N1A2P7,,2023/03/28 00:00:00+00
-8939503.15881694,5287175.91279947,96,1096,1096,30641,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Brant Community Healthcare System, , , ,32 Robinson Street, ,Practice Location,Simcoe,N3Y1W4,,2023/03/28 00:00:00+00
-8841981.68551164,5413220.40102266,97,1097,1097,3406,Mental Health and Addiction Organization,Mental Health Services,Sistering - A Woman's Place, , , ,962 Bloor Street West, ,Administration and Practice Location,Toronto,M6H1L6,,2023/03/28 00:00:00+00
-8842447.33494163,5410013.36973036,98,1098,1098,3407,Mental Health and Addiction Organization,Mental Health Services,Sistering - A Woman's Place, , , ,220 Cowan Avenue, ,Practice Location,Toronto,M6K2N6,,2023/03/28 00:00:00+00
-8836667.58245185,5413816.38707236,99,1099,1099,3419,Mental Health and Addiction Organization,Mental Health Services,Central Toronto Youth Services, , , ,65 Wellesley Street East,Suite 300,Administration and Practice Location,Toronto,M4Y1G7,,2023/03/28 00:00:00+00
-10396688.8408829,6209234.39023666,100,1100,1100,3437,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,612 Portage Avenue, ,Practice Location,Fort Frances,P9A3M8,,2023/03/28 00:00:00+00
-10334544.7796754,6408691.54697924,101,1101,1101,12092,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,52 Van Horne Avenue, ,Practice Location,Dryden,P8N2Z2,,2023/03/28 00:00:00+00
-10232130.536451,6463304.1073932,102,1102,1102,12095,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,54 Front Street,"Suite 2C, 2nd Floor, Centennial Centre",Practice Location,Sioux Lookout,P8T1A5,,2023/03/28 00:00:00+00
-10445176.2269599,6624496.89498579,103,1103,1103,12096,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,201 Hammell Road,Suite B,Practice Location,Red Lake,P0V2M0,,2023/03/28 00:00:00+00
-10396351.9101801,6208985.49192385,104,1104,1104,13849,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,414 Scott Street, ,Administrative Office,Fort Frances,P9A1H2,,2023/03/28 00:00:00+00
-10519692.7705203,6406113.75188843,105,1105,1105,16085,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,21 Wolsley Street,St. Joseph's Health Centre,Practice Location,Kenora,P9N3W7,,2023/03/28 00:00:00+00
-10199413.6379193,6233764.39837518,106,1106,1106,30194,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,115 Main Street West,Northwestern Health Unit,Practice Location,Atikokan,P0T1C0,,2023/03/28 00:00:00+00
-9242699.81461798,5207755.46234371,107,1107,1107,3439,Mental Health and Addiction Organization,Mental Health Services,Mental Health Connections, , , ,370 Erie Street East, ,Administration and Practice Location,Windsor,N9A3X3,,2023/03/28 00:00:00+00
-8421912.81139707,5689787.9853749,108,1108,1108,3441,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Ottawa Branch, , , ,311 McArthur Avenue,Suite 201 - 301,Administration and Practice Location,Ottawa,K1L8M3,,2023/03/28 00:00:00+00
-8839242.05718347,5411038.64759954,109,1109,1109,3449,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,West Neighbourhood House, , , ,588 Queen Street West,2nd Floor,Administration and Practice Location,Toronto,M6J1E3,,2023/03/28 00:00:00+00
-8870693.99894543,5413804.15304498,110,1110,1110,3460,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Services and Housing In the Province (SHIP), , , ,969 Derry Road East,Suite 107,Administration and Practice Location,Mississauga,L5T2J7,,2023/03/28 00:00:00+00
