ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Facility_Name,"Population, 2021",Facilities_Per_Capita
St. Michael's Homes,Toronto,277 Rusholme Road,M6H2Y9,St. Michael's Homes,2794356.0,0.0006098006123772347
Centre for Addiction and Mental Health (CAMH),Toronto,33 Ursula Franklin Street,M5S2S1,Centre for Addiction and Mental Health (CAMH),2794356.0,0.0006098006123772347
North York General Hospital,Toronto,555 Finch Avenue West,M2R1N5,North York General Hospital,2794356.0,0.0006098006123772347
Bellwood Health Services Inc.,Toronto,175 Brentcliffe Road,M4G0C5,Bellwood Health Services Inc.,2794356.0,0.0006098006123772347
Ontario Federation of Indigenous Friendship Centres,Toronto,219 Front Street East,M5A1E8,Ontario Federation of Indigenous Friendship Centres,2794356.0,0.0006098006123772347
Madison Community Services,Toronto,210 Dundas Street West,M5G2E8,Madison Community Services,2794356.0,0.0006098006123772347
Mood Disorders Association of Ontario,Toronto,36 Eglinton Avenue West,M4R1A1,Mood Disorders Association of Ontario,2794356.0,0.0006098006123772347
A-Way Express Courier Service,Toronto,2168 Danforth Avenue,M4C1K3,A,2794356.0,0.0006098006123772347
Cross Toronto Community Development Corporation,Toronto,3345 Dundas Street West,M6P2A6,Cross Toronto Community Development Corporation,2794356.0,0.0006098006123772347
St. Jude Community Homes,Toronto,431 Dundas Street East,M5A2B1,St. Jude Community Homes,2794356.0,0.0006098006123772347
Jane/Finch Centre,Toronto,4400 Jane Street,M3N2K4,Jane/Finch Centre,2794356.0,0.0006098006123772347
"Chai-Tikvah Foundation, The",Toronto,4600 Bathurst Street,M2R3V2,Chai,2794356.0,0.0006098006123772347
Houselink & Mainstay Community Housing,Toronto,550 Queen Street East,M5A1V2,Houselink & Mainstay Community Housing,2794356.0,0.0006098006123772347
Reconnect Community Health Services,Toronto,1281 St. Clair Avenue West,M6E1B8,Reconnect Community Health Services,2794356.0,0.0006098006123772347
"Barbra Schlifer Commemorative Clinic, The",Toronto,489 College Street,M6G1A5,"Barbra Schlifer Commemorative Clinic, The",2794356.0,0.0006098006123772347
Cota Health,Toronto,550 Queen Street East,M5A1V2,Cota Health,2794356.0,0.0006098006123772347
George Brown College,Toronto,200 King Street East,M5A3W8,George Brown College,2794356.0,0.0006098006123772347
Habitat Services (Mental Health Program Services of Metropolitan Toronto),Toronto,2238 Dundas Street West,M6R3A9,Habitat Services (Mental Health Program Services of Metropolitan Toronto),2794356.0,0.0006098006123772347
Canadian Mental Health Association (CMHA) Ontario Division,Toronto,180 Dundas Street West,M5G1Z8,Canadian Mental Health Association (CMHA) Ontario Division,2794356.0,0.0006098006123772347
WoodGreen Community Services,Toronto,720 Spadina Avenue,M5S2T9,WoodGreen Community Services,2794356.0,0.0006098006123772347
Hong Fook Mental Health Association,Toronto,3320 Midland Avenue,M1V5E6,Hong Fook Mental Health Association,2794356.0,0.0006098006123772347
Homes First Society,Toronto,90 Shuter Street,M5B2K6,Homes First Society,2794356.0,0.0006098006123772347
Pilot Place Society,Toronto,70 Lombard Street,M5C2W2,Pilot Place Society,2794356.0,0.0006098006123772347
Opportunity for Advancement,Toronto,1011 Dufferin Street,M6H4B5,Opportunity for Advancement,2794356.0,0.0006098006123772347
Canadian Hearing Services,Toronto,271 Spadina Road,M5R2V3,Canadian Hearing Services,2794356.0,0.0006098006123772347
Margaret's Housing and Community Support Services,Toronto,158 Madison Avenue,M5R2S5,Margaret's Housing and Community Support Services,2794356.0,0.0006098006123772347
Across Boundaries: An Ethnocultural Mental Health Centre,Toronto,51 Clarkson Avenue,M6E2T5,Across Boundaries: An Ethnocultural Mental Health Centre,2794356.0,0.0006098006123772347
Progress Place,Toronto,576 Church Street,M4Y2E3,Progress Place,2794356.0,0.0006098006123772347
Working for Change,Toronto,101 Stokes Street,M6J1H4,Working for Change,2794356.0,0.0006098006123772347
Bridgepoint Family Health Team,Toronto,430 Broadview Avenue,M4K2N1,Bridgepoint Family Health Team,2794356.0,0.0006098006123772347
Carefirst Family Health Team,Toronto,300 Silver Star Boulevard,M1V0G2,Carefirst Family Health Team,2794356.0,0.0006098006123772347
Crosstown Family Health Team,Toronto,1286 Weston Road,M6M4R3,Crosstown Family Health Team,2794356.0,0.0006098006123772347
Don Mills Family Health Team,Toronto,20 Wynford Drive,M3C1J4,Don Mills Family Health Team,2794356.0,0.0006098006123772347
East GTA Family Health Team,Toronto,520 Ellesmere Road,M1R0B1,East GTA Family Health Team,2794356.0,0.0006098006123772347
Etobicoke Medical Centre Family Health Team,Toronto,85 The East Mall,M8Z5W4,Etobicoke Medical Centre Family Health Team,2794356.0,0.0006098006123772347
Humber River Family Health Team,Toronto,2050 Weston Road,M9N1X4,Humber River Family Health Team,2794356.0,0.0006098006123772347
Inner City Family Health Team,Toronto,69 Queen Street East,M5C1R8,Inner City Family Health Team,2794356.0,0.0006098006123772347
Jane-Finch Family Health Team,Toronto,1 Yorkgate Boulevard,M3N3A1,Jane,2794356.0,0.0006098006123772347
Mount Sinai Academic Family Health Team,Toronto,60 Murray Street,M5T3L9,Mount Sinai Academic Family Health Team,2794356.0,0.0006098006123772347
North York Family Health Team Inc.,Toronto,240 Duncan Mill Road,M3B3S6,North York Family Health Team Inc.,2794356.0,0.0006098006123772347
Scarborough Academic Family Health Team,Toronto,2901 Lawrence Avenue East,M1P2T3,Scarborough Academic Family Health Team,2794356.0,0.0006098006123772347
Sherbourne Family Health Team,Toronto,333 Sherbourne Street,M5A2S5,Sherbourne Family Health Team,2794356.0,0.0006098006123772347
South East Toronto Family Health Team,Toronto,833 Coxwell Avenue,M4C3E8,South East Toronto Family Health Team,2794356.0,0.0006098006123772347
St. Joseph's Urban Family Health Team,Toronto,30 The Queensway,M6R1B5,St. Joseph's Urban Family Health Team,2794356.0,0.0006098006123772347
St. Michael's Hospital Academic Family Health Team,Toronto,410 Sherbourne Street,M4X1K2,St. Michael's Hospital Academic Family Health Team,2794356.0,0.0006098006123772347
Sunnybrook Academic Family Health Team,Toronto,2075 Bayview Avenue,M4N3M5,Sunnybrook Academic Family Health Team,2794356.0,0.0006098006123772347
Taddle Creek Family Health Team,Toronto,790 Bay Street,M5G1N8,Taddle Creek Family Health Team,2794356.0,0.0006098006123772347
University Health Network Toronto Western Family Health Team,Toronto,Bathurst Street,M5T2S8,University Health Network Toronto Western Family Health Team,2794356.0,0.0006098006123772347
Village Family Health Team,Toronto,171 East Liberty Street,M6K3P6,Village Family Health Team,2794356.0,0.0006098006123772347
Women's College Academic Family Health Team,Toronto,76 Grenville Street,M5S1B3,Women's College Academic Family Health Team,2794356.0,0.0006098006123772347
Woodbine Family Health Team,Toronto,135 Queen's Plate Drive,M9W6V1,Woodbine Family Health Team,2794356.0,0.0006098006123772347
Emery-Keelesdale Nurse Practitioner-Led Clinic,Toronto,2562 Eglinton Avenue West,M6M1T4,Emery,2794356.0,0.0006098006123772347
HF Connecting Health  Nurse Practitioner-Led Clinic,Toronto,3660 Midland Avenue,M1V0B8,HF Connecting Health  Nurse Practitioner,2794356.0,0.0006098006123772347
E & R Ultrasound,Toronto,968 Albion Road,M9V1A7,E & R Ultrasound,2794356.0,0.0006098006123772347
Golden Radiology,Toronto,1880 Eglinton Avenue East,M1L2L1,Golden Radiology,2794356.0,0.0006098006123772347
Best Care Imaging,Toronto,1670 Dufferin Street,M6H3M2,Best Care Imaging,2794356.0,0.0006098006123772347
CCMSU Medical Imaging,Toronto,240 Duncan Mill Road,M3B3S6,CCMSU Medical Imaging,2794356.0,0.0006098006123772347
Cliffside X-Ray & Ultrasound Services,Toronto,2010 Eglinton Avenue West,M6E2K3,Cliffside X,2794356.0,0.0006098006123772347
Central Toronto Diagnostic Imaging,Toronto,658 Danforth Avenue,M4J5B9,Central Toronto Diagnostic Imaging,2794356.0,0.0006098006123772347
East Toronto Vascular Clinic,Toronto,1805 Queen Street East,M4L3Y3,East Toronto Vascular Clinic,2794356.0,0.0006098006123772347
North Scarborough X-Ray & Ultrasound,Toronto,3420 Finch Avenue East,M1W2R6,North Scarborough X,2794356.0,0.0006098006123772347
VPM Imaging,Toronto,520 Ellesmere Road,M1R0B1,VPM Imaging,2794356.0,0.0006098006123772347
Create West Fertility Inc.,Toronto,56 Aberfoyle Crescent,M8X2W4,Create West Fertility Inc.,2794356.0,0.0006098006123772347
Dr. Jeff Charendoff,Toronto,491 Eglinton Avenue West,M5N1A8,Dr. Jeff Charendoff,2794356.0,0.0006098006123772347
Goldberg Centre,Toronto,2235 Kennedy Road,M1T3G8,Goldberg Centre,2794356.0,0.0006098006123772347
Dr. A.I. Kravetz - Eye Physician & Surgeon,Toronto,115 Humber College Boulevard,M9V0A9,Dr. A.I. Kravetz,2794356.0,0.0006098006123772347
Finch Weston X-Ray & Ultrasound,Toronto,2100 Finch Avenue West,M3N2Z9,Finch Weston X,2794356.0,0.0006098006123772347
MyHealth Centre,Toronto,1849 Yonge Street,M4S1Y2,MyHealth Centre,2794356.0,0.0006098006123772347
Riverside Cardiology & Diagnostic Imaging,Toronto,5 Junction Road,M6N1B5,Riverside Cardiology & Diagnostic Imaging,2794356.0,0.0006098006123772347
(Don Mills) Insight Diagnostic Imaging,Toronto,658 Danforth Avenue,M4J5B9,(Don Mills) Insight Diagnostic Imaging,2794356.0,0.0006098006123772347
Donway X-Ray,Toronto,520 Ellesmere Road,M1R0B1,Donway X,2794356.0,0.0006098006123772347
Respiratory Services Limited,Toronto,1849 Yonge Street,M4S1Y2,Respiratory Services Limited,2794356.0,0.0006098006123772347
Don Valley X-Ray & Ultrasound Services Ltd.,Toronto,855 Broadview Avenue,M4K3Z1,Don Valley X,2794356.0,0.0006098006123772347
East York Diagnostic Ultrasound,Toronto,45 Overlea Boulevard,M4H1C3,East York Diagnostic Ultrasound,2794356.0,0.0006098006123772347
Bochner Eye Institute,Toronto,40 Prince Arthur Avenue,M5R1A9,Bochner Eye Institute,2794356.0,0.0006098006123772347
Downsview Clinic,Toronto,906 Sheppard Avenue West,M3H2T5,Downsview Clinic,2794356.0,0.0006098006123772347
North York Diagnostic and Cardiac Centre,Toronto,250 Marlee Avenue,M6B3H7,North York Diagnostic and Cardiac Centre,2794356.0,0.0006098006123772347
Ontario Diagnostic Centre (ODC) - Humber College,Toronto,100 Humber College Boulevard,M9V5G4,Ontario Diagnostic Centre (ODC),2794356.0,0.0006098006123772347
Toronto East X-Ray and Ultrasound,Toronto,1145 Morningside Avenue,M1B0A7,Toronto East X,2794356.0,0.0006098006123772347
Hannam Fertility Centre,Toronto,160 Bloor Street East,M4W1B9,Hannam Fertility Centre,2794356.0,0.0006098006123772347
Old Mill Radiology and Ultrasound Services,Toronto,230 Brown's Line,M8W3T4,Old Mill Radiology and Ultrasound Services,2794356.0,0.0006098006123772347
Victoria Terrace X-Ray & Ultrasound,Toronto,1448 Lawrence Avenue East,M4A2V6,Victoria Terrace X,2794356.0,0.0006098006123772347
Metro Central Ultrasound and Echocardiography,Toronto,27 Queen Street East,M5C2M6,Metro Central Ultrasound and Echocardiography,2794356.0,0.0006098006123772347
Kainam Pulmonary Investigation,Toronto,600 Sherbourne Street,M4X1W4,Kainam Pulmonary Investigation,2794356.0,0.0006098006123772347
Hitek Medical Imaging,Toronto,4800 Leslie Street,M2J2K9,Hitek Medical Imaging,2794356.0,0.0006098006123772347
Lawrence and Midland Radiology Centre,Toronto,2683 Lawrence Avenue East,M1P2S2,Lawrence and Midland Radiology Centre,2794356.0,0.0006098006123772347
Toronto Vascular Ultrasound,Toronto,217 Davenport Road,M5R1J3,Toronto Vascular Ultrasound,2794356.0,0.0006098006123772347
Inspiration Pulmonary Function,Toronto,340 College Street,M5T3A9,Inspiration Pulmonary Function,2794356.0,0.0006098006123772347
Scarborough Radiology,Toronto,2374 Eglinton Avenue East,M1K2P4,Scarborough Radiology,2794356.0,0.0006098006123772347
ReGen Scientific Inc.,Toronto,181 University Avenue,M5H3M7,ReGen Scientific Inc.,2794356.0,0.0006098006123772347
Bayview & Sheppard Diagnostic Clinic,Toronto,701 Sheppard Avenue East,M2K2Z3,Bayview & Sheppard Diagnostic Clinic,2794356.0,0.0006098006123772347
Cabbagetown Women's Clinic,Toronto,302 Gerrard Street East,M5A2G7,Cabbagetown Women's Clinic,2794356.0,0.0006098006123772347
New Dufferin Diagnostic Imaging,Toronto,150 Eglinton Avenue East,M4P1E8,New Dufferin Diagnostic Imaging,2794356.0,0.0006098006123772347
Sleep Care Solutions - Osler Sleep Clinic,Toronto,135 Queens Plate Drive,M9W6V1,Sleep Care Solutions,2794356.0,0.0006098006123772347
Taj Imaging Inc.,Toronto,1333 Neilson Road,M1B4Y9,Taj Imaging Inc.,2794356.0,0.0006098006123772347
Lighthouse Medical Imaging - Finch,Toronto,4168 Finch Avenue East,M1S5H6,Lighthouse Medical Imaging,2794356.0,0.0006098006123772347
Tripod Fertility,Toronto,2225 Sheppard Avenue East,M2J5C2,Tripod Fertility,2794356.0,0.0006098006123772347
"New Jane X-Ray, Ultrasound",Toronto,911 Jane Street,M6N4C6,New Jane X,2794356.0,0.0006098006123772347
Markham-Lawrence X-Ray and Ultrasound,Toronto,3585 Lawrence Avenue East,M1G1P4,Markham,2794356.0,0.0006098006123772347
Yorkview X-Ray & Ultrasound,Toronto,3695 Keele Street,M3J1N2,Yorkview X,2794356.0,0.0006098006123772347
Dr. Peter K. Girschek,Toronto,2238 Dundas Street West,M6R3A9,Dr. Peter K. Girschek,2794356.0,0.0006098006123772347
East Toronto Eye Consultants,Toronto,2101 Brimley Road,M1S2B4,East Toronto Eye Consultants,2794356.0,0.0006098006123772347
Universal Pulmonary Function Laboratory,Toronto,2888 Bathurst Street,M6B4H6,Universal Pulmonary Function Laboratory,2794356.0,0.0006098006123772347
Markham McNicoll X-Ray & Ultrasound Inc.,Toronto,2901 Markham Road,M1X0B6,Markham McNicoll X,2794356.0,0.0006098006123772347
Scarborough Women's Imaging Centre,Toronto,2025 Midland Avenue,M1P3E2,Scarborough Women's Imaging Centre,2794356.0,0.0006098006123772347
Bayview Pulmonary Services Inc.,Toronto,586 Eglinton Avenue East,M4P1P2,Bayview Pulmonary Services Inc.,2794356.0,0.0006098006123772347
Ophthalmology Associates SHSC,Toronto,2075 Bayview Avenue,M4N3M5,Ophthalmology Associates SHSC,2794356.0,0.0006098006123772347
Metro Radiology Ltd.,Toronto,2010 Eglinton Avenue West,M6E2K3,Metro Radiology Ltd.,2794356.0,0.0006098006123772347
York Ultrasound,Toronto,219 Sheppard Avenue West,M2N1N2,York Ultrasound,2794356.0,0.0006098006123772347
Rajinder Rathee Medicine Professional Corporation,Toronto,18 Wynford Drive,M3C3S2,Rajinder Rathee Medicine Professional Corporation,2794356.0,0.0006098006123772347
Scarborough North Pulmonary Function Services Inc.,Toronto,4040 Finch Avenue East,M1S4V5,Scarborough North Pulmonary Function Services Inc.,2794356.0,0.0006098006123772347
Richmond Gardens X-Ray and Ultrasound,Toronto,1735 Kipling Avenue,M9R2Y8,Richmond Gardens X,2794356.0,0.0006098006123772347
Humber Diagnostics Center,Toronto,1017 Wilson Avenue,M3K1Z1,Humber Diagnostics Center,2794356.0,0.0006098006123772347
Milliken Finch Diagnostic Imaging,Toronto,4040 Finch Avenue East,M1S4V5,Milliken Finch Diagnostic Imaging,2794356.0,0.0006098006123772347
The Toronto Centre for Medical Imaging,Toronto,150 York Street,M5H3S5,The Toronto Centre for Medical Imaging,2794356.0,0.0006098006123772347
Toronto West Cardiac and Medical Imaging Centre,Toronto,4250 Weston Road,M9L1W9,Toronto West Cardiac and Medical Imaging Centre,2794356.0,0.0006098006123772347
RR Imaging,Toronto,586 Eglinton Avenue East,M4P1P2,RR Imaging,2794356.0,0.0006098006123772347
Ultimate Diagnostics,Toronto,4190 Finch Avenue East,M1S4T7,Ultimate Diagnostics,2794356.0,0.0006098006123772347
York Ultrasound Consultants,Toronto,1333 Sheppard Avenue East,M2J1V1,York Ultrasound Consultants,2794356.0,0.0006098006123772347
Sleep Diagnostics Centre,Toronto,1333 Sheppard Avenue East,M2J1V1,Sleep Diagnostics Centre,2794356.0,0.0006098006123772347
Hullmark Medical Digital Imaging,Toronto,4789 Yonge Street,M2N0G3,Hullmark Medical Digital Imaging,2794356.0,0.0006098006123772347
Royal View X-Ray & Ultrasound,Toronto,1436 Royal York Road,M9P3A9,Royal View X,2794356.0,0.0006098006123772347
Keelson X-Ray & Ultrasound,Toronto,1020 Wilson Avenue,M3K1G6,Keelson X,2794356.0,0.0006098006123772347
Danforth/Main X-Ray Ultrasound & Mammography Clinic,Toronto,2494 Danforth Avenue,M4C1K9,Danforth/Main X,2794356.0,0.0006098006123772347
Sleep Diagnostic Facility,Toronto,550 University Avenue,M5G2A2,Sleep Diagnostic Facility,2794356.0,0.0006098006123772347
Taigu X-Ray and Ultrasound,Toronto,3447 Kennedy Road,M1V3S1,Taigu X,2794356.0,0.0006098006123772347
Robert Adam Medicine Professional Corporation,Toronto,801 Eglinton Avenue West,M5N1E3,Robert Adam Medicine Professional Corporation,2794356.0,0.0006098006123772347
North York Sleep & Diagnostic Centre Inc.,Toronto,2 Champagne Drive,M3J2C5,North York Sleep & Diagnostic Centre Inc.,2794356.0,0.0006098006123772347
King-Mar Diagnostic Centre,Toronto,3227 Eglinton Avenue East,M1J3M5,King,2794356.0,0.0006098006123772347
Sleep-Wake Disorders Clinic,Toronto,2130 Lawrence Avenue East,M1R3A6,Sleep,2794356.0,0.0006098006123772347
2-Spirited People of the 1st Nations,Toronto,145 Front Street East,M5A1E3,2,2794356.0,0.0006098006123772347
Action Positive VIH/SIDA,Toronto,543 Yonge Street,M4Y1Y5,Action Positive VIH/SIDA,2794356.0,0.0006098006123772347
"African and Caribbean Council on HIV/AIDS in Ontario, c/o Black Coalition for AIDS Prevention",Toronto,20 Victoria Street,M5C2N8,"African and Caribbean Council on HIV/AIDS in Ontario, c/o Black Coalition for AIDS Prevention",2794356.0,0.0006098006123772347
Africans in Partnership Against AIDS,Toronto,526 Richmond Street East,M5A1R3,Africans in Partnership Against AIDS,2794356.0,0.0006098006123772347
"AIDS Bereavement & Resiliency Program of Ontario, c/o Fife House",Toronto,490 Sherbourne Street,M4X1K9,"AIDS Bereavement & Resiliency Program of Ontario, c/o Fife House",2794356.0,0.0006098006123772347
AIDS Committee of Toronto,Toronto,543 Yonge Street,M4Y1Y5,AIDS Committee of Toronto,2794356.0,0.0006098006123772347
Alliance for South Asian AIDS Prevention,Toronto,120 Carlton Street,M5A4K3,Alliance for South Asian AIDS Prevention,2794356.0,0.0006098006123772347
Asian Community AIDS Services,Toronto,260 Spadina Avenue,M5T2E4,Asian Community AIDS Services,2794356.0,0.0006098006123772347
Birth Control and Sexual Health Centre,Toronto,960 Lawrence Avenue West,M6A3B5,Birth Control and Sexual Health Centre,2794356.0,0.0006098006123772347
Black Coalition for AIDS Prevention,Toronto,20 Victoria Street,M5C2N8,Black Coalition for AIDS Prevention,2794356.0,0.0006098006123772347
Black Creek Community Health Centre,Toronto,1 Yorkgate Boulevard,M3N2A1,Black Creek Community Health Centre,2794356.0,0.0006098006123772347
Canadian AIDS Treatment Information Exchange,Toronto,555 Richmond Street West,M5V3B1,Canadian AIDS Treatment Information Exchange,2794356.0,0.0006098006123772347
Casey House,Toronto,119 Isabella Street,M4Y1P2,Casey House,2794356.0,0.0006098006123772347
Centre for Spanish-Speaking Peoples,Toronto,120 Carlton Street,M5A4K3,Centre for Spanish,2794356.0,0.0006098006123772347
Centre francophone du Grand Toronto,Toronto,555 Richmond Street West,M5V3B1,Centre francophone du Grand Toronto,2794356.0,0.0006098006123772347
"Committee for Accessible AIDS Treatment, c/o Regent Park Community Health Centre",Toronto,411 Parliament Street,M5A3A1,"Committee for Accessible AIDS Treatment, c/o Regent Park Community Health Centre",2794356.0,0.0006098006123772347
Family Service Toronto,Toronto,Sterling Road,M6R2B7,Family Service Toronto,2794356.0,0.0006098006123772347
"Gay Men's Sexual Health Alliance, c/o Ontario AIDS Network",Toronto,252 Carlton Street,M5A2L1,"Gay Men's Sexual Health Alliance, c/o Ontario AIDS Network",2794356.0,0.0006098006123772347
"Good Shepherd Refuge Social Ministries, Barret House",Toronto,412 Queen Street East,M5A1T3,"Good Shepherd Refuge Social Ministries, Barret House",2794356.0,0.0006098006123772347
Hassle Free Clinic,Toronto,66 Gerrard Street East,M5B1G3,Hassle Free Clinic,2794356.0,0.0006098006123772347
Hemophilia Ontario,Toronto,10 Milner Business Court,M1B3C6,Hemophilia Ontario,2794356.0,0.0006098006123772347
HIV & AIDS Legal Clinic (Ontario),Toronto,55 University Avenue,M5J2H7,HIV & AIDS Legal Clinic (Ontario),2794356.0,0.0006098006123772347
Hospice Toronto,Toronto,55 Eglinton Avenue East,M4P1G8,Hospice Toronto,2794356.0,0.0006098006123772347
"Hospital for Sick Children, ID2 Clinic",Toronto,555 University Avenue,M5G1X8,"Hospital for Sick Children, ID2 Clinic",2794356.0,0.0006098006123772347
"LOFT Community Services, McEwan House",Toronto,20 Dundonald Street,M4Y1K2,"LOFT Community Services, McEwan House",2794356.0,0.0006098006123772347
Maggie's Toronto: Sex Workers Action Project,Toronto,526 Richmond Street East,M5A1R3,Maggie's Toronto: Sex Workers Action Project,2794356.0,0.0006098006123772347
"Michael Garron Hospital, Immunodeficiency Clinic",Toronto,825 Coxwell Avenue East,M4C3E7,"Michael Garron Hospital, Immunodeficiency Clinic",2794356.0,0.0006098006123772347
"Mount Sinai Hospital, Department of Psychiatry, Clinic for HIV-Related Concerns",Toronto,600 University Avenue,M5G1X5,"Mount Sinai Hospital, Department of Psychiatry, Clinic for HIV",2794356.0,0.0006098006123772347
Neighbourhood Group Community Services,Toronto,91 Bellevue Avenue,M5T2N8,Neighbourhood Group Community Services,2794356.0,0.0006098006123772347
Ontario AIDS Network,Toronto,252 Carlton Street,M5A2L1,Ontario AIDS Network,2794356.0,0.0006098006123772347
"Ontario Association of the Deaf, Deaf Outreach Project",Toronto,2395 Bayview Avenue,M2L1A2,"Ontario Association of the Deaf, Deaf Outreach Project",2794356.0,0.0006098006123772347
"Ontario Harm Reduction Network, c/o Fife House",Toronto,490 Sherbourne Street,M4X1K9,"Ontario Harm Reduction Network, c/o Fife House",2794356.0,0.0006098006123772347
Ontario HIV Treatment Network,Toronto,1300 Yonge Street,M4T1X3,Ontario HIV Treatment Network,2794356.0,0.0006098006123772347
"Ontario Organizational Development Program, c/o Regional HIV/AIDS Connection",Toronto,490 Sherbourne Street,M4X1K9,"Ontario Organizational Development Program, c/o Regional HIV/AIDS Connection",2794356.0,0.0006098006123772347
"Parkdale Queen West Community Health Centre, Bathurst Site",Toronto,168 Bathurst Street,M5V2R4,"Parkdale Queen West Community Health Centre, Bathurst Site",2794356.0,0.0006098006123772347
